smiles id prediction adm pass/fail
CN1CCCC1c1cccnc1 KTA-UNK-dac325de-1 2 2 fail
c1ccc2[nH]ccc2c1 KTA-UNK-dac325de-2 3 4 pass
c1ccncc1 KTA-UNK-dac325de-3 2 3 fail
CC(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cc(F)cc12 ELE-IMP-dfb36048-1 3 2 pass
CC(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cccc12 ELE-IMP-dfb36048-2 3 2 pass
CC(=O)N1CCc2c([nH]c3c(CCNS(C)(=O)=O)cccc23)C1 ELE-IMP-dfb36048-3 3 2 pass
CS(=O)(=O)NCCc1cccc2c3c([nH]c12)CN(S(C)(=O)=O)CC3 ELE-IMP-dfb36048-4 3 2 pass
CS(=O)(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cccc12 ELE-IMP-dfb36048-5 3 2 pass
NS(=O)(=O)c1cc2cc(F)ccc2[nH]1 ELE-IMP-dfb36048-6 3 2 pass
CS(=O)(=O)NCCc1ccc(C#N)cc1NC(=O)Nc1cccnc1 WAR-XCH-6eb0722e-1 2 2 fail
CS(=O)(=O)NCCCc1ccc(Cl)cc1NC(=O)Nc1cccnc1 WAR-XCH-6eb0722e-2 4 2 pass
CS(=O)(=O)NCCCc1ccc(C#N)cc1NC(=O)Nc1cccnc1 WAR-XCH-6eb0722e-3 2 2 fail
CS(=O)(=O)NCCc1ccc(Cl)cc1NC(=O)Nc1cccnc1 WAR-XCH-6eb0722e-4 4 2 pass
Cc1ccc(CCNS(C)(=O)=O)c(NC(=O)Nc2cccnc2)c1 WAR-XCH-6eb0722e-5 3 2 pass
Cc1ccc(CCCNS(C)(=O)=O)c(NC(=O)Nc2cccnc2)c1 WAR-XCH-6eb0722e-6 3 2 pass
NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1 DAR-DIA-43a5904b-1 3 2 pass
NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Br)c1 DAR-DIA-43a5904b-2 3 2 pass
NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(I)c1 DAR-DIA-43a5904b-3 3 2 pass
NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(C(F)(F)F)c1 DAR-DIA-43a5904b-4 4 2 pass
NC(=O)[C@H]1C(O)C(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1 DAR-DIA-43a5904b-5 3 2 pass
NC(=O)[C@H]1[C@@H](c2cccc(Cl)c2)C=C(Cc2cccnc2)[C@@H]1O DAR-DIA-43a5904b-6 3 2 pass
NC(=O)[C@H]1CC(Cc2ccccc2)=C[C@H]1c1cccc(Cl)c1 DAR-DIA-43a5904b-7 2 2 fail
NC(=O)[C@H]1CC(Cc2cncs2)=C[C@H]1c1cccc(Cl)c1 DAR-DIA-43a5904b-8 3 1 fail
NC(=O)[C@H]1CC(Cc2cnco2)=C[C@H]1c1cccc(Cl)c1 DAR-DIA-43a5904b-9 2 1 fail
NC(=O)[C@H]1CC(CC2CC2)=C[C@H]1c1cccc(Cl)c1 DAR-DIA-43a5904b-10 2 2 fail
Cn1cc(CC2=C[C@@H](c3cccc(Cl)c3)[C@@H](C(N)=O)C2)cn1 DAR-DIA-43a5904b-11 3 1 fail
